_id,תאריך,מאושפזים,אחוז נשים מאושפזות,גיל ממוצע מאושפזים,סטיית תקן גיל מאושפזים,מונשמים,אחוז נשים מונשמות,גיל ממוצע מונשמים,סטיית תקן גיל מונשמים,אחוז מונשמים לא מחוסנים,חולים קל,אחוז נשים חולות קל,אחוז חולים קל לא מחוסנים,גיל ממוצע חולים קל,סטיית תקן גיל חולים קל,חולים בינוני,אחוז נשים חולות בינוני,אחוז חולים בינוני לא מחוסנים,גיל ממוצע חולים בינוני,סטיית תקן גיל חולים בינוני,חולים קשה,אחוז נשים חולות קשה,אחוז חולים קשה לא מחוסנים,גיל ממוצע חולים קשה,סטיית תקן גיל חולים קשה,חולים קשה מצטבר
512,2021-08-04T00:00:00,593,47,68.8,19,46.0,43.5,68.8,11.4,37,271,51.3,33.2,65.5,22.4,86.0,44.2,36.0,69.6,18.4,236.0,43.2,33.1,72.3,13.7,18003.0
513,2021-08-05T00:00:00,645,47.6,67.3,20.5,47.0,44.7,67.1,11.8,40.4,294,51,34,62.5,24.3,92.0,42.4,32.6,69.1,19.3,259.0,45.6,33.6,72,13.9,18057.0
514,2021-08-06T00:00:00,664,45.3,68.5,19.3,50.0,42,68.8,12.7,40,308,48.1,29.5,65.7,22.4,80.0,41.2,41.2,67.8,19.4,276.0,43.5,33,71.9,14.4,18107.0
515,2021-08-07T00:00:00,707,46.7,69,19.1,46.0,47.8,66.9,12.4,43.5,295,52.5,29.5,66.3,22.4,84.0,36.9,31.0,67.1,19.1,328.0,43.9,33.5,71.9,15,18178.0
516,2021-08-08T00:00:00,792,47.5,68.4,19.3,48.0,45.8,66.1,12.7,54.2,314,53.5,32.8,64.5,23.6,107.0,37.4,28.0,69.9,17.1,371.0,45.3,35.8,71.4,14.7,18258.0
517,2021-08-09T00:00:00,812,48,69.1,19,56.0,46.4,66.8,13.7,51.8,322,53.1,34.8,65.6,23,100.0,36.0,30.0,69.2,17.1,390.0,46.9,34.6,71.9,14.8,18324.0
518,2021-08-10T00:00:00,854,47.1,68.4,19.5,57.0,45.6,66.1,12.8,43.9,334,53,34.1,64,23.9,118.0,37.3,25.4,70.5,16.2,402.0,45,34.6,71.4,15.2,18393.0
519,2021-08-11T00:00:00,912,47.9,68.5,19.5,59.0,50.8,67.3,11,47.5,365,53.4,33.2,64.3,23.6,137.0,40.9,29.2,71.7,15.3,410.0,45.4,35.1,71.3,15.7,18461.0
520,2021-08-12T00:00:00,945,47.1,68.2,20,65.0,49.2,68.2,12.1,46.2,355,53.2,35.8,63,24.5,139.0,40.3,30.9,70.5,17.7,451.0,44.3,35.7,71.7,15.4,18533.0
521,2021-08-13T00:00:00,955,45.3,68.7,19.4,73.0,45.2,67.9,12.9,49.3,347,52.4,33.4,63.9,23.9,126.0,38.1,30.2,72.2,17.9,482.0,42.1,38.4,71.1,15.2,18627.0
522,2021-08-14T00:00:00,1006,46.7,68.5,19.6,77.0,49.4,68.1,14.4,44.2,365,53.4,36.2,63.4,24.3,137.0,41.6,29.9,71.8,16.3,504.0,43.3,38.5,71.2,15.4,18706.0
523,2021-08-15T00:00:00,1123,46.9,67.9,19.9,82.0,43.9,67.1,14.5,42.7,410,53.9,33.7,62.9,24.9,168.0,40.5,29.2,71.2,15.8,545.0,43.7,38.7,70.6,15.5,18803.0
524,2021-08-16T00:00:00,1095,47.5,67.1,20.4,85.0,44.7,66.7,14.7,45.9,397,51.4,36.3,62.5,25.5,160.0,46.2,30.0,68.4,18.0,538.0,45,41.1,70.1,15.6,18882.0
525,2021-08-17T00:00:00,1142,47.4,65.6,21.5,90.0,43.3,66,14.9,47.8,407,53.3,40.3,58.5,27,168.0,41.7,26.8,69.8,17.6,567.0,44.8,41.3,69.5,16,18977.0
526,2021-08-18T00:00:00,1167,46.9,65.5,21.5,93.0,40.9,64.3,15.5,48.4,406,52.5,41.9,58.5,27.2,161.0,44.1,31.1,70.4,17.9,600.0,43.8,43.3,68.8,16.2,19070.0
527,2021-08-19T00:00:00,1160,46.4,65.5,21.2,91.0,40.7,63.2,16.2,45.1,405,51.9,42.7,60.1,26.6,156.0,42.9,35.9,68.3,18.2,599.0,43.6,43.6,68.4,16.7,19140.0
528,2021-08-20T00:00:00,1164,45.7,64.8,21.3,88.0,42,63.3,16.4,48.9,399,54.4,43.1,58.4,26.2,157.0,35.7,38.2,66.7,19.7,608.0,42.6,44.6,68.5,16.8,19228.0
529,2021-08-21T00:00:00,1200,45.2,64.6,21,97.0,40.2,62.6,16.1,50.5,395,53.4,41.8,57.7,25.7,151.0,37.7,40.4,67.2,19.7,654.0,41.9,45.6,68.2,16.7,19319.0
530,2021-08-22T00:00:00,1315,46.2,64.2,21.2,101.0,38.6,62.9,16.3,47.5,437,52.4,42.3,57.9,26.1,189.0,42.3,43.4,65.4,20.5,689.0,43.3,44.7,67.8,16.4,19411.0
531,2021-08-23T00:00:00,1294,47.8,63.9,20.9,112.0,42,62.9,16.3,49.1,416,53.6,41.6,56.9,25.5,185.0,42.2,38.9,65.3,19.7,693.0,45.9,47.8,67.7,16.6,19516.0
532,2021-08-24T00:00:00,1269,48.6,63.8,21,112.0,41.1,62.9,16.2,50.9,400,58.5,39.5,57.1,25.5,173.0,41.6,40.5,64.8,19.8,696.0,44.7,49.4,67.4,17.1,19607.0
533,2021-08-25T00:00:00,1254,49.8,62.8,21.2,119.0,40.3,62.9,17,52.9,390,57.2,42.1,54.7,25.9,166.0,48.2,45.8,65.1,19.2,698.0,46,50.7,66.7,17.1,19707.0
534,2021-08-26T00:00:00,1230,50.3,62.8,21.1,122.0,40.2,63.7,17.2,55.7,378,57.9,42.9,55.9,26.1,160.0,47.5,46.9,64.2,19.5,692.0,46.8,52,66.3,17.2,19795.0
535,2021-08-27T00:00:00,1227,49.8,62.9,20.9,134.0,41,64.5,17,59,381,55.6,46.7,55.3,25.8,150.0,48.0,46.7,64.0,20.1,696.0,47,52.3,66.8,16.5,19888.0
536,2021-08-28T00:00:00,1237,49.6,63.3,21,130.0,38.5,64.9,16.6,56.2,377,55.7,48.3,56.5,26.6,168.0,45.2,48.8,64.4,19.3,692.0,47.4,50.9,66.7,16.6,19959.0
537,2021-08-29T00:00:00,1361,49.1,62.7,21,137.0,38,64.6,16.4,54.7,422,57.1,46.7,55.6,25.9,185.0,44.9,48.1,64.4,19.5,754.0,45.6,52.3,66.3,16.9,20053.0
538,2021-08-30T00:00:00,1315,48.9,62.5,21.4,144.0,39.6,63.7,17.1,57.6,400,55.8,43.8,55.5,26.8,166.0,47.6,50.0,62.9,20.3,749.0,45.5,53.4,66.1,17,20144.0
539,2021-08-31T00:00:00,1261,48.5,62.2,21.4,155.0,41.9,62.9,16.8,58.7,385,57.9,44.9,54.7,27,166.0,41.0,50.0,63.5,19.9,710.0,45.1,53.4,66,16.8,20226.0
540,2021-09-01T00:00:00,1288,49.3,61.1,22.1,144.0,41,62,16.8,56.9,440,58.2,45.7,52.4,27.1,161.0,43.5,52.2,65.0,19.0,687.0,45,54.7,65.8,16.8,20312.0
541,2021-09-02T00:00:00,1254,49.6,60.3,22.2,143.0,41.3,62.5,16.6,56.6,414,59.2,47.6,51.1,27.2,170.0,42.9,51.2,61.7,20.7,670.0,45.4,55.2,65.7,16.7,20383.0
542,2021-09-03T00:00:00,1227,48.9,59.6,22.6,137.0,41.6,61.3,16,59.9,406,55.7,48.8,49.5,27.4,163.0,46.0,54.6,61.8,21.3,658.0,45.4,56.2,65.2,16.8,20456.0
543,2021-09-04T00:00:00,1244,48,59.2,22.8,148.0,41.2,61,16,60.1,399,55.6,51.1,48.8,27.8,180.0,46.7,54.4,61.6,21.7,665.0,43.8,55.9,64.8,16.7,20521.0
544,2021-09-05T00:00:00,1280,49.2,59.5,22.6,153.0,41.2,60.6,16.5,62.7,414,57.7,51.4,50.5,27.8,183.0,47.5,53.6,59.7,22.6,683.0,44.5,57.7,65,16.7,20590.0
545,2021-09-06T00:00:00,1213,48.4,60,22.1,151.0,41.7,61.3,15.6,63.6,405,57.5,52.8,51.3,26.8,160.0,51.2,54.4,62.5,21.2,648.0,42,58.5,64.8,16.9,20641.0
546,2021-09-07T00:00:00,1152,48.6,60,21.8,158.0,40.5,61.4,16,65.8,371,56.9,50.9,50.8,26.3,139.0,49.6,53.2,62.4,20.7,642.0,43.6,59.2,64.8,16.9,20710.0
547,2021-09-08T00:00:00,1214,49,59.4,21.9,167.0,41.3,60.9,16.3,67.1,409,56.2,52.1,50.7,26.7,146.0,52.7,52.7,63.3,20.8,659.0,43.7,60.8,64,16.6,20766.0
548,2021-09-09T00:00:00,1298,48.4,58.8,22,168.0,41.1,60.5,16.5,67.3,458,55.2,49.6,50,26.4,171.0,52.0,48.5,64.2,19.0,669.0,42.8,62.9,63.5,17,20829.0
549,2021-09-10T00:00:00,1218,47.4,59.3,21.6,169.0,40.8,61.5,16.9,65.7,397,53.7,51.4,51.5,26.2,151.0,51.0,54.3,62.3,20.2,670.0,42.8,62.7,63.3,17.2,20906.0
550,2021-09-11T00:00:00,1231,48.9,59,22.3,173.0,39.9,61,16.3,65.9,404,56.7,52,50.7,27.8,148.0,54.1,52.7,62.6,19.9,679.0,43.2,64.7,63,17.1,20972.0
551,2021-09-12T00:00:00,1360,50.1,58.1,22.3,176.0,43.2,60.4,15.5,66.5,471,56.3,54.8,48.9,26.8,188.0,55.9,55.9,62.8,20.8,701.0,44.5,64.5,63.1,16.8,21054.0
552,2021-09-13T00:00:00,1283,49.6,59.5,22,186.0,40.9,60.3,15.4,68.3,429,55.9,50.3,51.6,26.9,178.0,56.2,59.6,63.5,21.0,676.0,43.8,63.6,63.3,16.9,21118.0
553,2021-09-14T00:00:00,1285,48.2,59.1,22.1,192.0,39.1,61,14.9,67.7,424,55.4,54.5,51.6,27,195.0,48.7,55.4,62.5,20.9,666.0,43.4,64.6,62.8,17.2,21194.0
554,2021-09-15T00:00:00,1200,47.7,58.7,21.8,188.0,39.4,60.7,15.4,67,377,54.1,55.7,51.9,27,168.0,46.4,56.0,60.6,20.2,655.0,44.3,65.3,62.2,17.6,21260.0
555,2021-09-16T00:00:00,1145,47.8,58.6,21.9,183.0,41,60.6,15.5,69.9,368,56.5,57.9,50.4,26.6,141.0,43.3,53.9,61.7,19.7,636.0,43.7,65.7,62.6,17.6,21314.0
556,2021-09-17T00:00:00,1287,48.6,57.9,22.4,191.0,41.4,60.9,15.3,67.5,451,56.5,55.7,49.9,26.6,164.0,43.3,57.3,61.5,20.0,672.0,44.5,66.1,62.5,17.8,21376.0
557,2021-09-18T00:00:00,1276,49.3,58.5,22.3,191.0,39.3,60.3,15.7,68.1,403,58.8,56.6,50.1,27.6,167.0,43.1,58.7,61.1,19.4,706.0,45.3,67.3,62.7,17.7,21472.0
558,2021-09-19T00:00:00,1357,50.3,57.7,22.8,190.0,39.5,59.9,15.4,70.5,464,58,59.9,49.2,27.1,171.0,43.3,60.2,60.2,21.4,722.0,47,67.7,62.6,18,21545.0
559,2021-09-20T00:00:00,1232,49.6,58.6,22.4,182.0,36.8,60,15.5,72,390,55.9,62.6,49.4,27.4,143.0,45.5,56.6,63.9,20.6,699.0,46.9,67.2,62.7,17.5,21621.0
560,2021-09-21T00:00:00,1174,50,59,22.1,186.0,38.2,59.4,15.3,72,354,57.3,63.3,51.4,27.9,126.0,39.7,61.1,60.5,20.1,694.0,48.1,68.2,62.5,17.7,21698.0
561,2021-09-22T00:00:00,1249,49.8,58.3,22.2,189.0,39.2,58.8,15.4,72,360,56.9,63.3,48.8,27.3,161.0,44.1,59.6,58.5,20.4,728.0,47.5,68.4,62.9,18,21770.0
562,2021-09-23T00:00:00,1186,49.7,59,21.6,203.0,40.9,58,15.9,72.4,324,57.4,58.3,51.8,27.4,140.0,47.9,58.6,61.9,19.6,722.0,46.7,68.8,61.6,18.1,21848.0
563,2021-09-24T00:00:00,1123,48.8,58.4,22.1,211.0,41.7,58.1,15.9,72,302,56,62.3,48.6,28.1,125.0,44.8,58.4,64.6,20.6,696.0,46.4,70.3,61.6,17.6,21903.0
564,2021-09-25T00:00:00,1076,48,58.5,21.6,214.0,41.6,58.6,15.4,72.4,266,54.5,59.4,47.9,27.2,129.0,49.6,58.9,62.8,21.5,681.0,45.2,70.3,61.8,17.5,21965.0
565,2021-09-26T00:00:00,1169,48.9,58.3,21.6,221.0,43.9,59.3,15.6,71.5,317,58,63.7,49.8,27.2,154.0,47.4,57.8,60.3,23.2,698.0,45.1,70.8,61.8,16.9,22022.0
566,2021-09-27T00:00:00,1096,48.5,58.3,21.7,218.0,43.1,57.9,15.3,73.9,294,57.8,65.3,49,27.3,136.0,48.5,54.4,62.9,23.8,666.0,44.4,71.2,61.5,16.7,22079.0
567,2021-09-28T00:00:00,1047,48.8,57.8,21.7,218.0,44,58.2,15,73.9,273,59.3,66.3,46.4,27.6,119.0,50.4,55.5,62.1,23.5,655.0,44.1,71.1,61.8,16.1,22128.0
568,2021-09-29T00:00:00,1096,49.3,58,21.6,210.0,42.9,57.8,15.2,76.2,313,57.2,64.5,48.4,27.5,125.0,50.4,55.2,61.3,21.8,658.0,45.3,71.4,62,16.4,22172.0
569,2021-09-30T00:00:00,1028,49.7,58.3,21.4,206.0,43.7,58.1,15,76.7,285,61.8,66.3,47.8,26.7,116.0,42.2,56.0,61.8,22.8,627.0,45.6,71.3,62.4,16.3,22221.0
570,2021-10-01T00:00:00,971,50.5,57.9,21.8,198.0,42.9,57.6,14.8,76.3,260,59.2,65.8,47.2,27.9,113.0,50.4,57.5,61.5,22.5,598.0,46.7,72.1,61.9,16.6,22267.0
571,2021-10-02T00:00:00,948,50.4,58.3,21.4,200.0,41,57.1,15.2,76.5,244,57,63.9,47.7,27.4,123.0,52.8,61.8,62.7,20.6,581.0,47.2,72.8,61.8,16.8,22301.0
572,2021-10-03T00:00:00,974,50.8,58.4,21.2,199.0,42.2,56.4,14.8,77.9,278,56.1,68,50,26.6,126.0,53.2,61.9,62.8,20.0,570.0,47.7,73,61.4,17,22336.0
573,2021-10-04T00:00:00,910,50.2,58.2,21.4,200.0,43,55.9,15.3,77.5,260,55,65.8,49.7,27.8,106.0,50.9,63.2,63.4,17.5,544.0,47.8,73.5,61.2,17.1,22370.0
574,2021-10-05T00:00:00,833,51,57.8,21.3,193.0,42.5,56.5,15.6,78.2,238,57.6,63,49.1,27.2,102.0,56.9,68.6,61.6,19.8,493.0,46.7,74,61.3,16.8,22401.0
575,2021-10-06T00:00:00,791,49.4,57.4,21.1,193.0,42,56.4,15.8,78.2,228,55.7,59.6,50.1,26.7,91.0,46.2,63.7,60.8,21.0,472.0,47,75.4,60.3,16.8,22433.0
576,2021-10-07T00:00:00,757,48.5,58,20.7,185.0,41.1,56.6,15.3,77.3,229,54.1,61.6,51.2,26,77.0,48.1,63.6,63.7,20.8,451.0,45.7,74.5,60.4,16.5,22460.0
577,2021-10-08T00:00:00,719,48.5,58,20.7,185.0,41.1,56.5,15.1,77.3,200,59,60,51.1,26.3,73.0,42.5,58.9,61.3,20.4,446.0,44.8,76.2,60.6,16.9,22498.0
578,2021-10-09T00:00:00,713,48.5,58,21,184.0,40.8,55.9,14.8,77.7,191,57.1,67,49.1,26.2,75.0,49.3,61.3,62.4,20.3,447.0,44.7,74,61.1,17.1,22526.0
579,2021-10-10T00:00:00,740,49.2,58,20.9,182.0,41.2,55.5,15,78.6,216,58.8,64.8,50,25.7,75.0,44.0,61.3,63.1,19.9,449.0,45.4,74.6,61,17.2,22551.0
580,2021-10-11T00:00:00,705,48.9,57.5,21,182.0,42.3,55.7,15,76.9,198,56.6,62.6,48.5,26,76.0,51.3,68.4,63.2,20.8,431.0,45,73.8,60.5,16.9,22581.0
581,2021-10-12T00:00:00,672,48.2,57.4,21.1,171.0,41.5,55.5,14.7,76,183,55.7,69.9,48,26.2,73.0,47.9,61.6,64.9,20.0,416.0,45,73.6,60.2,17.2,22602.0
582,2021-10-13T00:00:00,659,48,56.6,21.4,166.0,41,54.8,14.8,77.1,185,54.6,68.6,47.1,26.6,70.0,48.6,67.1,63.2,19.7,404.0,44.8,72.8,59.8,17.2,22625.0
583,2021-10-14T00:00:00,629,47.9,56.8,21.4,164.0,41.5,55.6,15.1,76.8,178,55.6,64.6,48.7,27,70.0,41.4,70.0,63.1,20.9,381.0,45.4,72.2,59.5,17,22646.0
584,2021-10-15T00:00:00,589,47.5,56.8,21.1,158.0,39.9,55.9,15.6,76.6,158,52.5,62.7,49.7,26.3,58.0,44.8,69.0,58.6,23.8,373.0,45.8,71.3,59.6,17.2,22673.0
585,2021-10-16T00:00:00,579,47.5,57.1,20.9,161.0,39.8,55.8,15.3,77.6,147,52.4,58.5,53.8,27.3,63.0,49.2,66.7,55.7,23.8,369.0,45.3,73.2,58.6,17.1,22689.0
586,2021-10-17T00:00:00,602,46.7,57.9,20.5,158.0,39.2,56,15.7,77.2,161,50.9,57.8,55.3,26.6,65.0,43.1,60.0,57.4,22.6,376.0,45.5,72.9,59.1,16.8,22708.0
587,2021-10-18T00:00:00,553,45.2,57.8,20.8,163.0,41.1,56.2,15.4,78.5,147,47.6,59.2,53.9,26.8,54.0,37.0,64.8,58.8,23.7,352.0,45.5,73.3,59.3,17.1,22723.0
588,2021-10-19T00:00:00,524,45.6,57.4,21,156.0,42.3,56.3,14.9,78.2,131,50.4,60.3,52.3,27.6,48.0,39.6,72.9,55.5,22.6,345.0,44.6,73.3,59.6,17.2,22744.0
589,2021-10-20T00:00:00,507,46.9,57.9,20.5,151.0,41.7,56.2,14.8,79.5,132,50.8,59.1,52.9,26.4,42.0,42.9,66.7,56.9,24.5,333.0,45.9,74.2,59.9,16.7,22755.0
590,2021-10-21T00:00:00,491,46.6,57.9,20.7,151.0,40.4,56.4,15.1,78.8,139,54,61.2,53.2,26.2,43.0,46.5,69.8,56.7,25.7,309.0,43.4,75.7,60.2,16.3,22763.0
591,2021-10-22T00:00:00,471,46.9,57.7,20.5,150.0,40.7,56.6,14.8,79.3,127,55.9,61.4,51.2,26.8,46.0,47.8,58.7,61.9,23.3,298.0,43,77.5,59.8,15.9,22780.0
592,2021-10-23T00:00:00,458,46.1,57.6,21,148.0,39.9,55.9,15.5,79.1,118,53.4,61.9,51.5,27.6,51.0,37.3,54.9,59.6,24.2,289.0,44.6,76.5,59.7,16.4,22787.0
593,2021-10-24T00:00:00,458,46.9,57.5,21.1,143.0,39.9,56,15.7,79,130,56.2,61.5,51.1,27.2,52.0,36.5,55.8,62.2,24.3,276.0,44.6,77.2,59.7,15.9,22791.0
594,2021-10-25T00:00:00,422,48.6,57.9,20.5,137.0,40.9,56.1,15.6,78.1,111,55.9,64.9,52.8,26.9,57.0,47.4,64.9,58.9,22.8,254.0,45.7,76.8,59.9,16,22801.0
595,2021-10-26T00:00:00,387,47.8,58.7,19.7,132.0,40.9,55.7,15.2,77.3,102,52.9,56.9,56.9,24.8,47.0,55.3,63.8,58.4,23.3,238.0,44.1,76.5,59.5,16.2,22807.0
596,2021-10-27T00:00:00,370,46.5,58.6,19.7,132.0,38.6,55.5,15,77.3,104,52.9,58.7,57.5,24.6,37.0,43.2,59.5,57.7,24.0,229.0,44.1,78.6,59.2,16.1,22819.0
597,2021-10-28T00:00:00,353,46.7,58.4,19.8,128.0,38.3,55.3,14.7,81.2,89,55.1,55.1,55.8,25.3,36.0,44.4,63.9,56.4,25.6,228.0,43.9,79.4,59.7,15.9,22831.0
598,2021-10-29T00:00:00,335,45.7,58.7,19.4,125.0,39.2,55.6,14.8,81.6,91,48.4,57.1,56.7,24.1,30.0,50.0,63.3,54.4,23.6,214.0,43.9,80.8,60.1,16.1,22836.0
599,2021-10-30T00:00:00,328,45.7,58.9,19.2,124.0,39.5,56,15,82.3,89,46.1,56.2,57.3,23,28.0,53.6,64.3,55.8,26.0,211.0,44.5,81.5,60,16.2,22840.0
600,2021-10-31T00:00:00,343,45.8,58.6,19.7,126.0,39.7,55.8,14.9,82.5,99,48.5,61.6,56.4,24.1,32.0,53.1,62.5,54.1,23.7,212.0,43.4,79.2,60.3,16.4,22846.0
601,2021-11-01T00:00:00,326,46,58.9,19.3,122.0,40.2,55.8,15.1,82.8,91,46.2,57.1,54.9,24.9,28.0,46.4,57.1,62.4,19.1,207.0,45.9,79.7,60.1,16.1,22853.0
602,2021-11-02T00:00:00,308,46.4,58.8,19.9,116.0,40.5,56.3,15.2,83.6,82,48.8,57.3,54,27.1,24.0,33.3,54.2,59.2,20.3,202.0,47,78.7,60.7,15.9,22861.0
603,2021-11-03T00:00:00,287,48.4,58.6,20.3,113.0,41.6,55.9,15.2,84.1,78,52.6,57.7,53.5,27.4,23.0,43.5,52.2,60.2,21.0,186.0,47.3,81.7,60.6,15.9,22865.0
604,2021-11-04T00:00:00,274,48.2,59.3,19.8,108.0,43.5,55.4,15,87,81,48.1,58,56.5,25.6,21.0,42.9,52.4,60.5,20.7,172.0,48.8,83.1,60.4,16.2,22866.0
605,2021-11-05T00:00:00,259,45.9,59.3,19.3,105.0,42.9,56.1,14.3,86.7,74,41.9,56.8,56.3,25.1,16.0,43.8,50.0,64.5,21.6,169.0,47.9,83.4,60.2,15.7,22872.0
606,2021-11-06T00:00:00,261,46.4,58.7,19.5,106.0,42.5,56.1,14.1,86.8,73,46.6,58.9,55.2,25.5,18.0,50.0,50.0,63.1,21.1,170.0,45.9,82.9,59.7,15.9,22877.0
607,2021-11-07T00:00:00,259,46.3,58.6,19.6,103.0,43.7,56.1,14.3,88.3,72,44.4,56.9,55.8,25.8,22.0,54.5,45.5,60.3,22.1,165.0,46.1,81.8,59.5,15.9,22878.0
608,2021-11-08T00:00:00,252,45.2,58.2,19.2,103.0,43.7,56.3,14.4,88.3,69,46.4,56.5,56.6,24.5,24.0,45.8,50.0,59.8,23.5,159.0,44.7,83.6,58.6,15.6,22882.0
609,2021-11-09T00:00:00,247,44.1,58.2,19.6,101.0,43.6,55.7,14.3,89.1,81,45.7,59.3,57.2,24.9,17.0,47.1,58.8,57.4,23.0,149.0,43,83.9,58.9,15.6,22888.0
610,2021-11-10T00:00:00,237,44.3,57.2,19.7,97.0,42.3,56,14.8,87.6,78,52.6,52.6,56.3,25.5,17.0,41.2,64.7,58.2,21.8,142.0,40.1,85.9,57.5,15.5,22893.0
611,2021-11-11T00:00:00,239,46.4,57,19.6,98.0,42.9,55.9,14.7,87.8,81,49.4,54.3,54.5,25.2,16.0,50.0,68.8,58.8,20.7,142.0,44.4,85.2,58.1,15.4,22901.0
612,2021-11-12T00:00:00,230,45.7,56.7,19.1,98.0,42.9,55.9,14.7,87.8,67,46.3,53.7,55.5,25.1,19.0,52.6,68.4,58.7,20.8,144.0,44.4,84,57.1,15.4,22908.0
613,2021-11-13T00:00:00,233,45.1,57.2,18.9,98.0,42.9,55.2,15.1,87.8,71,43.7,52.1,58.4,23.7,17.0,47.1,70.6,54.4,22.5,145.0,45.5,84.8,57,15.6,22912.0
614,2021-11-14T00:00:00,245,44.9,57.2,19.5,95.0,41.1,55.7,14.8,88.4,80,42.5,51.2,56,25.2,19.0,57.9,78.9,61.1,21.1,146.0,44.5,84.2,57.4,15.4,22917.0
615,2021-11-15T00:00:00,226,44.2,57.9,19.6,91.0,39.6,55.7,15.1,86.8,71,43.7,47.9,57.8,25.6,19.0,52.6,78.9,62.2,21.1,136.0,43.4,83.1,57.4,15.4,22921.0
616,2021-11-16T00:00:00,222,42.3,58.3,20,89.0,37.1,55.7,15.2,85.4,69,39.1,47.8,60,25.8,19.0,42.1,78.9,58.8,21.9,134.0,44,82.8,57.5,16.1,22925.0
617,2021-11-17T00:00:00,220,40.5,57.7,20.4,89.0,34.8,55.4,14.7,85.4,68,36.8,45.6,57,27,18.0,44.4,83.3,58.9,22.6,134.0,41.8,83.6,57.9,15.9,22928.0
618,2021-11-18T00:00:00,227,41.9,58.2,20,86.0,34.9,55.2,14.9,84.9,68,38.2,45.6,56.8,26.4,29.0,55.2,58.6,65.5,19.0,130.0,40.8,84.6,57.3,15.8,22933.0
619,2021-11-19T00:00:00,216,43.1,57.5,20.5,78.0,35.9,53.7,14.5,84.6,73,43.8,49.3,57.5,25.2,21.0,42.9,61.9,62.3,24.6,122.0,42.6,83.6,56.8,16.3,22936.0
620,2021-11-20T00:00:00,212,42.9,57.6,20.3,78.0,34.6,53.6,14.4,83.3,68,42.6,48.5,56.3,26.1,17.0,41.2,70.6,69.6,18.4,127.0,43.3,81.9,56.7,16.2,22944.0
621,2021-11-21T00:00:00,221,42.1,58,20.5,78.0,37.2,53.8,14.6,82.1,73,37,45.2,57.1,26,22.0,40.9,68.2,67.6,18.6,126.0,45.2,81.7,56.8,16.6,22948.0
622,2021-11-22T00:00:00,224,45.5,57.4,21.1,79.0,36.7,54.5,14.3,83.5,81,44.4,50.6,54.8,26.2,18.0,44.4,66.7,68.8,17.2,125.0,46.4,82.4,57.4,17.2,22954.0
623,2021-11-23T00:00:00,221,44.3,57.5,21,77.0,36.4,54.4,14.6,87,81,40.7,44.4,55.3,26.5,18.0,55.6,72.2,66.8,18.9,122.0,45.1,82.8,57.6,16.5,22959.0
624,2021-11-24T00:00:00,220,44.5,57.9,20.4,76.0,38.2,54.2,14.6,88.2,84,45.2,44,56.5,25.1,20.0,55.0,70.0,63.4,17.6,116.0,42.2,84.5,58,16.6,22962.0
625,2021-11-25T00:00:00,212,42.5,58.5,19.8,72.0,34.7,53.8,14.9,90.3,80,45,42.5,57.4,24.3,16.0,37.5,56.2,68.0,12.8,116.0,41.4,83.6,58,16.7,22970.0
626,2021-11-26T00:00:00,212,43.4,58.5,20,71.0,35.2,53.8,14.6,90.1,74,47.3,40.5,58.4,24.7,19.0,42.1,57.9,64.7,15.7,119.0,41.2,83.2,57.6,17.1,22977.0
627,2021-11-27T00:00:00,212,43.9,59,20.4,69.0,34.8,53.8,14.6,89.9,73,47.9,42.5,58.8,25.1,18.0,33.3,66.7,68.4,13.4,121.0,43,81.8,57.7,17.6,22983.0
628,2021-11-28T00:00:00,217,42.9,58.6,20.5,70.0,35.7,55.2,16,84.3,79,45.6,43,58,25.2,15.0,26.7,60.0,67.8,15.6,123.0,43.1,81.3,57.9,17.2,22988.0
629,2021-11-29T00:00:00,215,43.7,57.4,20.6,69.0,36.2,54.2,15.2,84.1,83,47,43.4,56.9,25.7,17.0,35.3,64.7,67.1,16.0,115.0,42.6,82.6,56.4,16.5,22990.0
630,2021-11-30T00:00:00,224,43.8,57.2,21.2,65.0,33.8,53.9,15,84.6,96,46.9,46.9,56.8,25.8,15.0,46.7,66.7,65.3,20.7,113.0,40.7,80.5,56.5,16.3,22993.0
631,2021-12-01T00:00:00,215,43.3,58.4,20.5,65.0,33.8,54.1,14.6,86.2,91,47.3,44,59.2,24.5,<15,35.7,71.4,66.1,19.4,110.0,40.9,80,56.7,16.6,22995.0
632,2021-12-02T00:00:00,211,42.7,58.1,20.5,64.0,34.4,54.2,14.9,85.9,90,46.7,47.8,59,24.4,<15,30.8,69.2,65.8,14.6,108.0,40.7,81.5,56.5,17,23000.0
633,2021-12-03T00:00:00,210,44.3,58.5,20.5,63.0,31.7,54.2,15.1,85.7,92,45.7,47.8,59.5,24.7,<15,30.8,61.5,60.3,14.4,105.0,44.8,81.9,57.3,16.9,23004.0
634,2021-12-04T00:00:00,211,44.5,57.8,20.8,62.0,32.3,53.5,14.6,85.5,95,46.3,45.3,57.7,25.1,<15,41.7,75.0,60.9,15.3,104.0,43.3,80.8,57.6,16.8,23009.0
635,2021-12-05T00:00:00,219,46.6,57.2,21.4,62.0,33.9,53.9,14.4,85.5,99,48.5,49.5,56.6,25.9,15.0,53.3,73.3,60.7,16.0,105.0,43.8,82.9,57.3,16.9,23014.0
